product_id,week,sku_sold,week_start
712,2019-04-22/2019-04-28,5,2019-04-22
712,2020-05-18/2020-05-24,5,2020-05-18
713,2018-01-15/2018-01-21,1,2018-01-15
713,2018-01-22/2018-01-28,1,2018-01-22
713,2018-02-05/2018-02-11,1,2018-02-05
713,2018-02-12/2018-02-18,1,2018-02-12
713,2018-02-19/2018-02-25,1,2018-02-19
713,2018-02-26/2018-03-04,1,2018-02-26
713,2018-04-02/2018-04-08,3,2018-04-02
713,2018-04-16/2018-04-22,1,2018-04-16
713,2018-04-23/2018-04-29,1,2018-04-23
713,2018-06-11/2018-06-17,1,2018-06-11
713,2018-07-09/2018-07-15,1,2018-07-09
713,2018-09-10/2018-09-16,1,2018-09-10
713,2018-09-17/2018-09-23,4,2018-09-17
713,2018-10-08/2018-10-14,1,2018-10-08
713,2018-10-29/2018-11-04,1,2018-10-29
713,2018-11-05/2018-11-11,1,2018-11-05
713,2018-11-12/2018-11-18,1,2018-11-12
713,2018-11-26/2018-12-02,1,2018-11-26
713,2019-01-28/2019-02-03,1,2019-01-28
713,2019-02-18/2019-02-24,4,2019-02-18
713,2019-02-25/2019-03-03,2,2019-02-25
713,2019-03-11/2019-03-17,1,2019-03-11
713,2019-03-18/2019-03-24,2,2019-03-18
713,2019-03-25/2019-03-31,1,2019-03-25
713,2019-04-15/2019-04-21,1,2019-04-15
713,2019-04-22/2019-04-28,1,2019-04-22
713,2019-04-29/2019-05-05,1,2019-04-29
713,2019-05-13/2019-05-19,1,2019-05-13
713,2019-05-27/2019-06-02,1,2019-05-27
713,2019-07-08/2019-07-14,3,2019-07-08
713,2019-08-12/2019-08-18,3,2019-08-12
713,2019-08-26/2019-09-01,3,2019-08-26
713,2019-09-16/2019-09-22,2,2019-09-16
713,2019-10-14/2019-10-20,1,2019-10-14
713,2019-10-21/2019-10-27,4,2019-10-21
713,2019-10-28/2019-11-03,1,2019-10-28
713,2020-01-06/2020-01-12,1,2020-01-06
713,2020-02-17/2020-02-23,1,2020-02-17
713,2020-04-06/2020-04-12,1,2020-04-06
713,2020-04-27/2020-05-03,1,2020-04-27
713,2020-05-18/2020-05-24,1,2020-05-18
713,2020-06-01/2020-06-07,1,2020-06-01
713,2020-06-15/2020-06-21,3,2020-06-15
713,2020-06-22/2020-06-28,4,2020-06-22
713,2020-07-06/2020-07-12,1,2020-07-06
713,2020-07-13/2020-07-19,1,2020-07-13
713,2020-07-20/2020-07-26,2,2020-07-20
